ace ##r wants $ 170 to just look at it then add the repair cost on top of that .####0,2 -1,-1	SUPPORT#PRICE#1
update : i repaired it myself for $ 12 .####-1,-1 -1,-1	LAPTOP#GENERAL#1
i had nothing to lose since it was a paper weight otherwise .####-1,-1 -1,-1	LAPTOP#GENERAL#0
the shame of it is knowing it took me 15 minutes and $ 12 to fix it and ace ##r wanted to rob me of $ 170 just to look at it .####18,20 -1,-1	SUPPORT#GENERAL#0
first one that they shipped was obviously defective , super slow and speakers were ga ##rb ##led .####-1,-1 7,8	SHIPPING#GENERAL#0
first one that they shipped was obviously defective , super slow and speakers were ga ##rb ##led .####-1,-1 10,11	SHIPPING#GENERAL#0
first one that they shipped was obviously defective , super slow and speakers were ga ##rb ##led .####12,13 14,17	MULTIMEDIA_DEVICES#GENERAL#0
the replacement i got was much better , but still too slow for my expectations .####1,2 11,12	LAPTOP#QUALITY#0
i wound up returning it .####-1,-1 -1,-1	LAPTOP#GENERAL#0
this works fine for that .####-1,-1 2,3	LAPTOP#QUALITY#2
october 12 , 2017 - - started having trouble maintaining connection to wi ##fi ( spectrum service ) , but usually after several loops re - entering password , connection would be re - established .####12,14 8,9	PORTS#QUALITY#0
sometimes had to do several times , but thought it might be an id ##ios ##yn ##cr ##ady of this model .####20,21 -1,-1	HARDWARE#GENERAL#0
now i ' m really bum ##med that i have a very nice looking chrome ##book with a beautiful screen that is totally un ##usa ##ble .####14,16 12,13	LAPTOP#DESIGN_FEATURES#2
now i ' m really bum ##med that i have a very nice looking chrome ##book with a beautiful screen that is totally un ##usa ##ble .####14,16 5,7	LAPTOP#OPERATION_PERFORMANCE#0
now i ' m really bum ##med that i have a very nice looking chrome ##book with a beautiful screen that is totally un ##usa ##ble .####14,16 23,26	LAPTOP#OPERATION_PERFORMANCE#0
now i ' m really bum ##med that i have a very nice looking chrome ##book with a beautiful screen that is totally un ##usa ##ble .####19,20 18,19	DISPLAY#OPERATION_PERFORMANCE#2
i just got this thing today & was really excited about it but this has been frustrating & disappointing .####-1,-1 16,17	LAPTOP#GENERAL#0
i just got this thing today & was really excited about it but this has been frustrating & disappointing .####-1,-1 18,19	LAPTOP#GENERAL#0
i ' ll wait a while until this device gets 4 - 5 stars .####8,9 -1,-1	LAPTOP#OPERATION_PERFORMANCE#1
there are certain very basic tasks that this computer can do .####8,9 -1,-1	LAPTOP#GENERAL#0
a lot of websites don ' t work properly with the chrome ##book , even though you ' re using the same browser .####11,13 -1,-1	LAPTOP#GENERAL#0
overall , this thing can do very basic stuff , sometimes .####-1,-1 -1,-1	LAPTOP#GENERAL#1
pro : light , reasonable price , fast .####-1,-1 2,3	LAPTOP#DESIGN_FEATURES#2
pro : light , reasonable price , fast .####-1,-1 7,8	LAPTOP#OPERATION_PERFORMANCE#2
pro : light , reasonable price , fast .####5,6 4,5	LAPTOP#PRICE#2
keyboard key fragile .####0,1 2,3	KEYBOARD#QUALITY#0
after 6 months my e ##y ##board key is not function very well .####4,8 -1,-1	KEYBOARD#OPERATION_PERFORMANCE#0
i only use the cho ##rm ##eb ##ook for sur ##ving the internet , checking my email , and watch hu ##lu or netflix .####4,8 -1,-1	LAPTOP#GENERAL#1
this is something to rec ##ons ##ider ##ed if one to buy the chrome ##book for doing homework and a lot of typing .####13,15 -1,-1	LAPTOP#GENERAL#1
up date per may 13 / 2018 about two months ago , the charge ##r won ##t work .####13,15 -1,-1	POWER_SUPPLY#QUALITY#0
so latest update the charge ##r only last about one year and the half .####4,6 -1,-1	POWER_SUPPLY#GENERAL#0
overall , it is not horrible , but i wouldn ' t purchase this model again .####14,15 4,6	LAPTOP#GENERAL#0
- long battery life####2,4 1,2	BATTERY#QUALITY#2
- charges quickly####-1,-1 2,3	POWER_SUPPLY#OPERATION_PERFORMANCE#2
- screen feels smaller than other of the same size .####1,2 3,4	DISPLAY#DESIGN_FEATURES#0
it gets two stars because it is a nice light weight and the folding is nice .####-1,-1 15,16	LAPTOP#PORTABILITY#2
it gets two stars because it is a nice light weight and the folding is nice .####-1,-1 9,10	LAPTOP#PORTABILITY#2
it gets two stars because it is a nice light weight and the folding is nice .####13,14 -1,-1	LAPTOP#DESIGN_FEATURES#2
two replacements had the same problem all in 4 weeks .####1,2 -1,-1	LAPTOP#GENERAL#0
i already returned the first laptop because i had to press extremely hard to get the left click to work .####5,6 -1,-1	LAPTOP#GENERAL#0
i ' ve had the device for 4 days now , and it has a number of big issues .####5,6 -1,-1	LAPTOP#GENERAL#0
next , is that the track pad is insane ##ly wo ##bbly .####5,7 10,12	HARDWARE#OPERATION_PERFORMANCE#0
one of the worst offenders is the battery life .####7,9 3,4	BATTERY#QUALITY#0
it also refuses to charge past 90 % and instantly jumps to 80 % when i un ##pl ##ug it .####-1,-1 -1,-1	LAPTOP#OPERATION_PERFORMANCE#0
there are issues beyond these , but it ' s all software related so i will let it be .####11,12 -1,-1	SOFTWARE#GENERAL#0
within two days of receiving this item a line appeared on my screen ( while i was using it , previously fine ) and below it the image / screen flickered .####29,30 -1,-1	DISPLAY#OPERATION_PERFORMANCE#0
the flip and touch ##screen aspects work fine , no problems .####1,2 7,8	HARDWARE#OPERATION_PERFORMANCE#2
the flip and touch ##screen aspects work fine , no problems .####3,5 7,8	HARDWARE#OPERATION_PERFORMANCE#2
it can not .####-1,-1 -1,-1	LAPTOP#GENERAL#0
screen looks good , it has a good battery life , key ##pad has some nice feedback , the works .####0,1 7,8	DISPLAY#DESIGN_FEATURES#2
screen looks good , it has a good battery life , key ##pad has some nice feedback , the works .####8,10 -1,-1	BATTERY#QUALITY#2
screen looks good , it has a good battery life , key ##pad has some nice feedback , the works .####11,13 15,16	KEYBOARD#OPERATION_PERFORMANCE#2
but you can ' t use an ace ##r chrome ##book r 11 this way .####7,13 -1,-1	LAPTOP#GENERAL#0
and the chrome ##book does not go to sleep or otherwise shut off .####2,4 -1,-1	LAPTOP#OPERATION_PERFORMANCE#0
loved it for an hour than it went black and we got a chrome os missing or damage message .####13,15 -1,-1	OS#QUALITY#0
terrible product and worse customer service - - do not buy####1,2 0,1	LAPTOP#GENERAL#0
terrible product and worse customer service - - do not buy####4,6 3,4	SUPPORT#GENERAL#0
we ordered this chrome ##book for my son to use for school .####3,5 -1,-1	LAPTOP#GENERAL#1
we received it in august , and it worked fine for just 5 months and then the touch screen stopped working .####-1,-1 9,10	LAPTOP#OPERATION_PERFORMANCE#1
we received it in august , and it worked fine for just 5 months and then the touch screen stopped working .####17,19 -1,-1	HARDWARE#OPERATION_PERFORMANCE#0
it worked properly for less than a week , and the touch screen stopped functioning again .####-1,-1 -1,-1	LAPTOP#OPERATION_PERFORMANCE#0
it worked properly for less than a week , and the touch screen stopped functioning again .####11,13 -1,-1	HARDWARE#QUALITY#0
we contacted both ace ##r and amazon , and they both informed us that it has to be sent back for repairs again .####3,5 -1,-1	SUPPORT#GENERAL#1
we contacted both ace ##r and amazon , and they both informed us that it has to be sent back for repairs again .####6,7 -1,-1	SUPPORT#GENERAL#1
good display####1,2 0,1	DISPLAY#GENERAL#2
good battery life####1,3 0,1	BATTERY#QUALITY#2
no fans and stays reasonably cool unless you are playing a game .####1,2 -1,-1	FANS&COOLING#GENERAL#0
no fans and stays reasonably cool unless you are playing a game .####-1,-1 4,5	FANS&COOLING#QUALITY#2
build quality seems ok , keyboard is not fl ##im ##sy or too firm .####0,2 3,4	LAPTOP#QUALITY#2
build quality seems ok , keyboard is not fl ##im ##sy or too firm .####5,6 7,14	KEYBOARD#GENERAL#2
my understanding is that chrome ##os is a very light weight so i don ' t know why it la ##gs sometimes with under 10 tab ##s open and a youtube video playing .####4,6 9,10	OS#OPERATION_PERFORMANCE#2
i needed a small chrome ##book for light web use while traveling and this tablet does ok but considering the price i would have expected a better processor and keyboard lighting .####27,28 -1,-1	CPU#PRICE#0
